iter	Passed	Remaining
0	62	41588
1	134	44614
2	230	50814
3	346	57139
4	435	57432
5	545	59776
6	640	60112
7	772	63369
8	887	64596
9	1015	66433
10	1109	65875
11	1228	66754
12	1354	67825
13	1458	67738
14	1561	67543
15	1651	66883
16	1763	67100
17	1858	66692
18	1970	66881
19	2095	67480
20	2210	67689
21	2307	67325
22	2386	66521
23	2468	65839
24	2539	64904
25	2580	63314
26	2619	61810
27	2662	60466
28	2737	59936
29	2810	59384
30	2874	58688
31	2945	58171
32	3022	57793
33	3077	57016
34	3141	56456
35	3191	55673
36	3231	54763
37	3263	53757
38	3294	52802
39	3327	51902
40	3364	51124
41	3395	50288
42	3424	49449
43	3455	48689
44	3493	48053
45	3529	47422
46	3560	46745
47	3589	46070
48	3622	45466
49	3650	44826
50	3678	44217
51	3711	43684
52	3740	43126
53	3768	42571
54	3796	42040
55	3828	41570
56	3859	41095
57	3890	40644
58	3922	40222
59	3955	39822
60	3987	39419
61	4020	39033
62	4051	38654
63	4086	38314
64	4119	37958
65	4151	37619
66	4186	37302
67	4224	37025
68	4260	36737
69	4294	36444
70	4332	36184
71	4373	35956
72	4409	35702
73	4446	35453
74	4486	35230
75	4528	35036
76	4570	34841
77	4611	34641
78	4652	34455
79	4695	34273
80	4731	34056
81	4767	33835
82	4804	33628
83	4843	33441
84	4889	33305
85	4948	33260
86	5018	33285
87	5083	33273
88	5131	33153
89	5177	33021
90	5219	32868
91	5268	32754
92	5311	32611
93	5350	32447
94	5393	32302
95	5444	32215
96	5493	32112
97	5550	32054
98	5606	31997
99	5656	31900
100	5701	31783
101	5743	31647
102	5783	31498
103	5831	31398
104	5878	31296
105	5922	31175
106	5967	31066
107	6010	30943
108	6050	30807
109	6090	30672
110	6135	30566
111	6183	30474
112	6227	30368
113	6270	30250
114	6309	30121
115	6354	30017
116	6399	29920
117	6441	29804
118	6487	29712
119	6542	29659
120	6586	29556
121	6630	29456
122	6679	29377
123	6727	29295
124	6772	29204
125	6814	29098
126	6852	28974
127	6896	28877
128	6933	28754
129	6971	28635
130	7008	28513
131	7049	28411
132	7086	28293
133	7127	28189
134	7168	28088
135	7213	28004
136	7252	27897
137	7292	27795
138	7330	27686
139	7370	27587
140	7408	27479
141	7445	27369
142	7488	27284
143	7531	27198
144	7568	27090
145	7605	26982
146	7641	26873
147	7679	26774
148	7714	26663
149	7749	26554
150	7784	26446
151	7825	26360
152	7862	26259
153	7898	26155
154	7933	26052
155	7973	25963
156	8008	25862
157	8044	25763
158	8085	25681
159	8125	25594
160	8160	25495
161	8195	25396
162	8232	25302
163	8275	25230
164	8311	25136
165	8347	25043
166	8391	24974
167	8432	24895
168	8475	24823
169	8512	24736
170	8555	24665
171	8590	24572
172	8626	24482
173	8666	24404
174	8706	24329
175	8742	24239
176	8779	24155
177	8831	24113
178	8872	24039
179	8908	23955
180	8943	23866
181	8977	23775
182	9017	23701
183	9053	23618
184	9090	23536
185	9124	23450
186	9167	23385
187	9203	23301
188	9238	23217
189	9273	23135
190	9313	23065
191	9350	22985
192	9385	22904
193	9421	22825
194	9465	22766
195	9502	22689
196	9537	22609
197	9577	22539
198	9618	22475
199	9654	22397
200	9689	22319
201	9727	22247
202	9766	22178
203	9800	22099
204	9837	22025
205	9989	22209
206	10092	22281
207	10181	22319
208	10261	22339
209	10336	22346
210	10418	22366
211	10482	22349
212	10531	22298
213	10599	22288
214	10676	22295
215	10746	22288
216	10815	22279
217	10864	22228
218	10928	22205
219	10998	22196
220	11070	22190
221	11143	22186
222	11215	22180
223	11289	22176
224	11364	22173
225	11448	22186
226	11515	22168
227	11580	22146
228	11648	22127
229	11724	22123
230	11792	22104
231	11853	22072
232	11926	22060
233	12000	22052
234	12074	22041
235	12142	22021
236	12213	22005
237	12295	22007
238	12356	21972
239	12428	21957
240	12492	21927
241	12573	21925
242	12648	21913
243	12697	21855
244	12739	21787
245	12785	21724
246	12828	21658
247	12889	21620
248	12964	21608
249	13043	21599
250	13121	21589
251	13197	21576
252	13263	21546
253	13341	21535
254	13417	21520
255	13480	21485
256	13555	21467
257	13638	21461
258	13705	21430
259	13780	21412
260	13854	21392
261	13944	21395
262	14011	21364
263	14082	21337
264	14158	21318
265	14238	21303
266	14321	21294
267	14394	21270
268	14446	21213
269	14495	21152
270	14542	21089
271	14606	21050
272	14672	21014
273	14743	20985
274	14810	20950
275	14883	20923
276	14956	20896
277	15077	20935
278	15145	20899
279	15205	20852
280	15275	20820
281	15357	20802
282	15427	20770
283	15488	20723
284	15553	20683
285	15628	20656
286	15691	20611
287	15752	20566
288	15812	20518
289	15884	20485
290	15966	20465
291	16028	20420
292	16089	20372
293	16169	20349
294	16236	20309
295	16301	20267
296	16363	20220
297	16444	20196
298	16501	20143
299	16553	20084
300	16603	20024
301	16668	19979
302	16741	19945
303	16809	19905
304	16877	19865
305	16940	19819
306	17019	19791
307	17079	19741
308	17146	19698
309	17206	19648
310	17278	19612
311	17345	19569
312	17411	19525
313	17470	19473
314	17522	19413
315	17570	19350
316	17615	19283
317	17662	19217
318	17746	19193
319	17819	19156
320	17888	19114
321	17965	19081
322	18044	19049
323	18108	19003
324	18179	18962
325	18245	18917
326	18318	18879
327	18387	18835
328	18439	18776
329	18483	18707
330	18531	18643
331	18576	18576
332	18629	18517
333	18687	18463
334	18768	18432
335	18839	18391
336	18910	18349
337	18979	18305
338	19058	18271
339	19123	18223
340	19189	18176
341	19247	18121
342	19323	18083
343	19378	18026
344	19431	17966
345	19474	17898
346	19524	17836
347	19568	17768
348	19625	17713
349	19686	17661
350	19756	17617
351	19822	17569
352	19886	17520
353	19934	17456
354	19986	17396
355	20022	17323
356	20089	17275
357	20136	17211
358	20170	17136
359	20200	17058
360	20238	16986
361	20273	16913
362	20308	16840
363	20338	16762
364	20367	16684
365	20402	16611
366	20437	16539
367	20471	16465
368	20502	16391
369	20534	16316
370	20571	16246
371	20610	16177
372	20642	16104
373	20672	16029
374	20712	15962
375	20746	15890
376	20780	15819
377	20815	15749
378	20856	15683
379	20890	15613
380	20926	15543
381	20961	15473
382	21000	15407
383	21042	15343
384	21087	15281
385	21129	15217
386	21170	15153
387	21207	15086
388	21245	15019
389	21283	14953
390	21326	14890
391	21362	14823
392	21406	14761
393	21455	14702
394	21499	14641
395	21538	14576
396	21576	14511
397	21613	14445
398	21656	14383
399	21694	14318
400	21730	14252
401	21768	14187
402	21808	14123
403	21845	14059
404	21884	13995
405	21926	13933
406	21964	13869
407	22006	13808
408	22045	13744
409	22090	13685
410	22127	13621
411	22164	13557
412	22203	13494
413	22249	13435
414	22290	13374
415	22330	13312
416	22371	13251
417	22421	13195
418	22464	13135
419	22507	13075
420	22546	13013
421	22586	12952
422	22623	12889
423	22660	12826
424	22715	12774
425	22793	12734
426	22848	12681
427	22894	12624
428	22942	12567
429	22995	12513
430	23049	12460
431	23094	12402
432	23138	12343
433	23192	12290
434	23241	12235
435	23292	12180
436	23341	12125
437	23408	12078
438	23457	12022
439	23504	11965
440	23554	11910
441	23600	11853
442	23642	11794
443	23688	11737
444	23739	11682
445	23780	11623
446	23823	11565
447	23864	11506
448	23913	11450
449	23960	11394
450	24004	11336
451	24047	11279
452	24096	11223
453	24142	11167
454	24190	11111
455	24236	11055
456	24290	11002
457	24337	10946
458	24390	10893
459	24447	10842
460	24500	10788
461	24548	10733
462	24593	10676
463	24636	10619
464	24686	10564
465	24730	10507
466	24774	10451
467	24818	10394
468	24871	10340
469	24920	10286
470	24972	10232
471	25026	10180
472	25081	10128
473	25126	10071
474	25170	10015
475	25213	9958
476	25260	9903
477	25303	9846
478	25348	9790
479	25394	9734
480	25452	9683
481	25500	9628
482	25542	9571
483	25586	9515
484	25633	9460
485	25674	9403
486	25715	9346
487	25754	9288
488	25798	9232
489	25837	9175
490	25877	9117
491	25915	9059
492	25955	9002
493	25992	8944
494	26035	8888
495	26075	8832
496	26127	8779
497	26167	8722
498	26207	8665
499	26247	8609
500	26292	8554
501	26334	8498
502	26373	8441
503	26412	8385
504	26461	8331
505	26501	8275
506	26538	8218
507	26575	8160
508	26618	8105
509	26654	8048
510	26690	7991
511	26729	7935
512	26769	7879
513	26803	7822
514	26840	7765
515	26877	7709
516	26919	7654
517	26957	7598
518	26992	7541
519	27028	7484
520	27071	7430
521	27106	7373
522	27141	7317
523	27179	7261
524	27223	7207
525	27258	7151
526	27297	7096
527	27333	7040
528	27376	6986
529	27410	6930
530	27445	6874
531	27480	6818
532	27522	6764
533	27558	6708
534	27593	6653
535	27628	6597
536	27783	6570
537	27883	6530
538	27969	6486
